timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:39:41,90,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Wasp II,Wasp II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:41 ] (combat) 90 to Wasp II[NVACA](Wasp II) - Domination Medium Proton Smartbomb - Hits,127,20260115_230059_1146915702.txt
2026.01.15 23:39:41,90,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Wasp II,Wasp II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:41 ] (combat) 90 to Wasp II[NVACA](Wasp II) - Domination Medium Proton Smartbomb - Hits,129,20260115_230059_1146915702.txt
2026.01.15 23:39:41,179,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Valkyrie II,Valkyrie II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:41 ] (combat) 179 to Valkyrie II[NVACA](Valkyrie II) - Domination Medium Proton Smartbomb - Hits,133,20260115_230059_1146915702.txt
2026.01.15 23:39:41,180,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Valkyrie II,Valkyrie II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:41 ] (combat) 180 to Valkyrie II[NVACA](Valkyrie II) - Domination Medium Proton Smartbomb - Hits,136,20260115_230059_1146915702.txt
2026.01.15 23:39:49,90,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Wasp II,Wasp II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:49 ] (combat) 90 to Wasp II[NVACA](Wasp II) - Domination Medium Proton Smartbomb - Hits,157,20260115_230059_1146915702.txt
2026.01.15 23:39:49,90,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Wasp II,Wasp II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:49 ] (combat) 90 to Wasp II[NVACA](Wasp II) - Domination Medium Proton Smartbomb - Hits,159,20260115_230059_1146915702.txt
2026.01.15 23:39:49,90,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Wasp II,Wasp II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:49 ] (combat) 90 to Wasp II[NVACA](Wasp II) - Domination Medium Proton Smartbomb - Hits,160,20260115_230059_1146915702.txt
2026.01.15 23:39:49,117,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Wasp II,Wasp II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:49 ] (combat) 117 to Wasp II[NVACA](Wasp II) - Domination Medium Proton Smartbomb - Hits,162,20260115_230059_1146915702.txt
2026.01.15 23:39:57,179,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Wasp II,Wasp II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:57 ] (combat) 179 to Wasp II[NVACA](Wasp II) - Domination Medium Proton Smartbomb - Hits,184,20260115_230059_1146915702.txt
2026.01.15 23:39:57,162,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Wasp II,Wasp II,Combat Drone,T2,Tech II,NV,NVACA,drone,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:57 ] (combat) 162 to Wasp II[NVACA](Wasp II) - Domination Medium Proton Smartbomb - Hits,186,20260115_230059_1146915702.txt
