dataset,result,module,count,total_amount,avg_amount
cap_warfare_received,Energy Neutralizer,Drifter Response Battleship,80,120000,1500.0
damage_done,Glances Off,Dual Giga Pulse Laser II,7,351553,50221.857142857145
damage_done,Glances Off,Quad 800mm Repeating Cannon II,19,63429,3338.3684210526317
damage_done,Grazes,Dual Giga Pulse Laser II,6,179238,29873.0
damage_done,Grazes,Quad 800mm Repeating Cannon II,7,16978,2425.4285714285716
damage_done,Hits,Dual Giga Pulse Laser II,48,3159042,65813.375
damage_done,Hits,Imperial Navy Large EMP Smartbomb,2,750,375.0
damage_done,Hits,Quad 800mm Repeating Cannon II,119,504897,4242.83193277311
damage_done,Misses completely,Dual Giga Pulse Laser II,2,0,0.0
damage_done,Penetrates,Dual Giga Pulse Laser II,47,3758552,79969.1914893617
damage_done,Penetrates,Quad 800mm Repeating Cannon II,135,706302,5231.866666666667
damage_done,Smashes,Dual Giga Pulse Laser II,14,1532550,109467.85714285714
damage_done,Smashes,Quad 800mm Repeating Cannon II,32,217466,6795.8125
propulsion_jam_attempts,Attempt,,14,,
