timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 20:29:17,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,32;22;33;34;23;24,[ 2026.01.15 20:29:17 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:29:23,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,40;34,[ 2026.01.15 20:29:23 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:41:19,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,612;935;613;942,[ 2026.01.15 20:41:19 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:41:21,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,615;946,[ 2026.01.15 20:41:21 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:41:23,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,617;954,[ 2026.01.15 20:41:23 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:53:40,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1349;1350;1783;1784,[ 2026.01.15 20:53:40 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:53:42,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1351;1785;1352;1790,[ 2026.01.15 20:53:42 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:05:51,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2019;2020;2772;2773,[ 2026.01.15 21:05:51 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:05:55,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2021;2783;2022;2784,[ 2026.01.15 21:05:55 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:20:25,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_202337_2059311182.txt,3897;3898,[ 2026.01.15 21:20:25 ] (combat) Warp scramble attempt from Emergent Sentinel to you!
