timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 20:31:55,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,8,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,278;279;432;433;280;281;436;437,[ 2026.01.15 20:31:55 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:31:57,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,283;284;442;443,[ 2026.01.15 20:31:57 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:43:39,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,828;1250;829;1252,[ 2026.01.15 20:43:39 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:43:41,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,831;832;833;1257;1258;1259,[ 2026.01.15 20:43:41 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:43:43,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,841;1266,[ 2026.01.15 20:43:43 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:57:01,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1720;1721;2103;2104;1722;2107,[ 2026.01.15 20:57:01 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:57:04,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1723;1724;2112;2113;1727;2121,[ 2026.01.15 20:57:04 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:09:44,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2435;3324,[ 2026.01.15 21:09:44 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:09:46,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2438;3331;2439;3335,[ 2026.01.15 21:09:46 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:09:48,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Warden,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2440;3339,[ 2026.01.15 21:09:48 ] (combat) Warp scramble attempt from Emergent Warden to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
