dataset,result,module,count,total_amount,avg_amount
damage_done,Glances Off,Dual Giga Pulse Laser II,1,16500,16500.0
damage_done,Glances Off,Quad 800mm Repeating Cannon II,3,13498,4499.333333333333
damage_done,Grazes,Dual Giga Pulse Laser II,7,82500,11785.714285714286
damage_done,Grazes,Quad 800mm Repeating Cannon II,34,58833,1730.3823529411766
damage_done,Hits,Dual Giga Pulse Laser II,8,132000,16500.0
damage_done,Hits,Imperial Navy Large EMP Smartbomb,123,29775,242.0731707317073
damage_done,Hits,Quad 800mm Repeating Cannon II,13,54642,4203.2307692307695
damage_done,Misses completely,Dual Giga Pulse Laser II,5,0,0.0
damage_done,Misses completely,Quad 800mm Repeating Cannon II,5,0,0.0
damage_done,Penetrates,Dual Giga Pulse Laser II,3,49500,16500.0
damage_done,Penetrates,Quad 800mm Repeating Cannon II,6,29252,4875.333333333333
