timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 20:29:34,225,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Orthrus,Orthrus,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:34 ] (combat) 225 to Orthrus - Imperial Navy Large EMP Smartbomb - Hits,57,20260115_202337_2059311182.txt
2026.01.15 20:29:34,225,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Orthrus,Orthrus,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:34 ] (combat) 225 to Orthrus - Imperial Navy Large EMP Smartbomb - Hits,59,20260115_202337_2059311182.txt
2026.01.15 20:29:41,225,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Orthrus,Orthrus,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:41 ] (combat) 225 to Orthrus - Imperial Navy Large EMP Smartbomb - Hits,78,20260115_202337_2059311182.txt
2026.01.15 20:29:41,150,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Emergent Sentinel,Emergent Sentinel,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:41 ] (combat) 150 to Emergent Sentinel - Imperial Navy Large EMP Smartbomb - Hits,79,20260115_202337_2059311182.txt
2026.01.15 20:29:41,150,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Emergent Sentinel,Emergent Sentinel,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:41 ] (combat) 150 to Emergent Sentinel - Imperial Navy Large EMP Smartbomb - Hits,80,20260115_202337_2059311182.txt
2026.01.15 20:29:43,225,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Orthrus,Orthrus,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:43 ] (combat) 225 to Orthrus - Imperial Navy Large EMP Smartbomb - Hits,82,20260115_202337_2059311182.txt
2026.01.15 20:29:43,150,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Emergent Sentinel,Emergent Sentinel,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:43 ] (combat) 150 to Emergent Sentinel - Imperial Navy Large EMP Smartbomb - Hits,83,20260115_202337_2059311182.txt
2026.01.15 20:29:43,150,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Emergent Sentinel,Emergent Sentinel,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:43 ] (combat) 150 to Emergent Sentinel - Imperial Navy Large EMP Smartbomb - Hits,84,20260115_202337_2059311182.txt
2026.01.15 20:29:46,16500,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Orthrus,Orthrus,,,,,,npc,Dual Giga Pulse Laser II,T2,5,Tech II,Grazes,[ 2026.01.15 20:29:46 ] (combat) 16500 to Orthrus - Dual Giga Pulse Laser II - Grazes,98,20260115_202337_2059311182.txt
2026.01.15 20:29:49,150,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Emergent Sentinel,Emergent Sentinel,,,,,,npc,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:49 ] (combat) 150 to Emergent Sentinel - Imperial Navy Large EMP Smartbomb - Hits,106,20260115_202337_2059311182.txt
