dataset,result,module,count,total_amount,avg_amount
cap_warfare_received,Energy Neutralizer,Drifter Response Battleship,62,93000,1500.0
cap_warfare_received,Energy Neutralizer,Emergent Warden,97,2231,23.0
cap_warfare_received,Energy Neutralizer,Sleepless Keeper,69,6210,90.0
cap_warfare_received,Energy Neutralizer,Upgraded Avenger,78,87750,1125.0
damage_done,Glances Off,Dual Giga Pulse Laser II,25,811090,32443.6
damage_done,Grazes,Dual Giga Pulse Laser II,38,714856,18812.0
damage_done,Hits,Dual Giga Pulse Laser II,176,6627445,37655.9375
damage_done,Hits,Imperial Navy Large EMP Smartbomb,1194,270418,226.48073701842546
damage_done,Misses completely,Dual Giga Pulse Laser II,11,0,0.0
damage_done,Penetrates,Dual Giga Pulse Laser II,130,6627627,50981.74615384615
damage_done,Smashes,Dual Giga Pulse Laser II,30,2178753,72625.1
damage_received,Hits,Imperial Navy Large EMP Smartbomb,443,87203,196.84650112866817
damage_received,Hits,Oneiric Missile,282,22015,78.06737588652483
damage_received,Hits,Phantasmata Missile,170,617033,3629.605882352941
damage_received,Hits,Praedormitan Missile,270,65188,241.43703703703704
propulsion_jam_attempts,Attempt,,42,,
