timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 20:36:32,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,497;910,[ 2026.01.15 20:36:32 ] (combat) Warp scramble attempt from Arithmos Tyrannos to you!
2026.01.15 20:37:23,0wnda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_202340_94865292.txt,11,[ 2026.01.15 20:37:23 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Naglfar Fleet Issue [ECHO.] [INOU] [Owndaworld] -
2026.01.15 20:48:46,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1245;1725,[ 2026.01.15 20:48:46 ] (combat) Warp scramble attempt from Arithmos Tyrannos to you!
2026.01.15 20:49:48,0wnda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_202340_94865292.txt,13,[ 2026.01.15 20:49:48 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Naglfar Fleet Issue [ECHO.] [INOU] [Owndaworld] -
2026.01.15 20:30:08,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,8,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,105;179;107;108;109;180;181;182,[ 2026.01.15 20:30:08 ] (combat) Warp scramble attempt from Emergent Sentinel to you!
2026.01.15 20:42:16,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,751;1103,[ 2026.01.15 20:42:16 ] (combat) Warp scramble attempt from Emergent Sentinel to you!
2026.01.15 20:42:19,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,760;1111,[ 2026.01.15 20:42:19 ] (combat) Warp scramble attempt from Emergent Sentinel to you!
2026.01.15 20:54:36,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1439;1440;1947;1948,[ 2026.01.15 20:54:36 ] (combat) Warp scramble attempt from Emergent Sentinel to you!
2026.01.15 20:54:38,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1443;1949;1446;1950,[ 2026.01.15 20:54:38 ] (combat) Warp scramble attempt from Emergent Sentinel to you!
2026.01.15 21:06:57,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2120;2993,[ 2026.01.15 21:06:57 ] (combat) Warp scramble attempt from Emergent Sentinel to you!
