timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 20:29:32,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:29:32 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,46,20260115_201152_1350587670.txt
2026.01.15 20:29:33,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:29:33 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,48,20260115_201152_1350587670.txt
2026.01.15 20:29:33,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:29:33 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,49,20260115_201152_1350587670.txt
2026.01.15 20:41:47,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:41:47 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,673,20260115_201152_1350587670.txt
2026.01.15 20:41:47,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:41:47 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,674,20260115_201152_1350587670.txt
2026.01.15 20:41:47,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:41:47 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,675,20260115_201152_1350587670.txt
2026.01.15 20:42:05,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:42:05 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,719,20260115_201152_1350587670.txt
2026.01.15 20:42:05,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:42:05 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,725,20260115_201152_1350587670.txt
2026.01.15 20:42:05,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:42:05 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,726,20260115_201152_1350587670.txt
2026.01.15 20:42:20,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:42:20 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,765,20260115_201152_1350587670.txt
2026.01.15 20:42:24,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:42:24 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,770,20260115_201152_1350587670.txt
2026.01.15 20:42:24,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:42:24 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,771,20260115_201152_1350587670.txt
2026.01.15 20:43:47,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:43:47 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,848,20260115_201152_1350587670.txt
2026.01.15 20:43:47,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:43:47 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,849,20260115_201152_1350587670.txt
2026.01.15 20:43:47,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:43:47 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,850,20260115_201152_1350587670.txt
2026.01.15 20:44:07,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:44:07 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,920,20260115_201152_1350587670.txt
2026.01.15 20:44:07,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:44:07 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,921,20260115_201152_1350587670.txt
2026.01.15 20:44:07,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:44:07 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,922,20260115_201152_1350587670.txt
2026.01.15 20:44:27,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:44:27 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,977,20260115_201152_1350587670.txt
2026.01.15 20:44:27,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:44:27 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,978,20260115_201152_1350587670.txt
2026.01.15 20:44:47,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:44:47 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,1005,20260115_201152_1350587670.txt
2026.01.15 20:44:47,5025,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Phantasmata Missile,T1,0,,Hits,[ 2026.01.15 20:44:47 ] (combat) 5025 from Upgraded Avenger - Phantasmata Missile - Hits,1006,20260115_201152_1350587670.txt
