timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 20:29:33,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:33 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,50,20260115_201152_1350587670.txt
2026.01.15 20:29:33,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:33 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,51,20260115_201152_1350587670.txt
2026.01.15 20:29:42,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:42 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,65,20260115_201152_1350587670.txt
2026.01.15 20:29:43,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:43 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,66,20260115_201152_1350587670.txt
2026.01.15 20:29:50,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:50 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,78,20260115_201152_1350587670.txt
2026.01.15 20:29:50,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:50 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,79,20260115_201152_1350587670.txt
2026.01.15 20:29:58,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:58 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,87,20260115_201152_1350587670.txt
2026.01.15 20:29:59,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:29:59 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,89,20260115_201152_1350587670.txt
2026.01.15 20:30:05,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:30:05 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,98,20260115_201152_1350587670.txt
2026.01.15 20:30:06,253,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Imperial Navy Large EMP Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 20:30:06 ] (combat) 253 from Ownda[INOU](Revelation Navy Issue) - Imperial Navy Large EMP Smartbomb - Hits,101,20260115_201152_1350587670.txt
