dataset,result,module,count,total_amount,avg_amount
cap_warfare_received,Energy Neutralizer,Drifter Response Battleship,18,27000,1500.0
cap_warfare_received,Energy Neutralizer,Sleepless Keeper,5,450,90.0
cap_warfare_received,Energy Neutralizer,Upgraded Avenger,104,117000,1125.0
damage_done,Glances Off,Quad 800mm Repeating Cannon II,90,214524,2383.6
damage_done,Grazes,Quad 800mm Repeating Cannon II,268,363587,1356.6679104477612
damage_done,Hits,Imperial Navy Large EMP Smartbomb,724,158276,218.61325966850828
damage_done,Hits,Quad 800mm Repeating Cannon II,313,1032646,3299.188498402556
damage_done,Misses completely,Quad 800mm Repeating Cannon II,60,0,0.0
damage_done,Penetrates,Quad 800mm Repeating Cannon II,227,992162,4370.757709251101
damage_done,Smashes,Quad 800mm Repeating Cannon II,43,257325,5984.302325581395
damage_received,Hits,Imperial Navy Large EMP Smartbomb,424,85082,200.66509433962264
damage_received,Hits,Phantasmata Missile,111,536301,4831.540540540541
damage_received,Hits,Praedormitan Missile,16,2775,173.4375
propulsion_jam_attempts,Attempt,,20,,
