dataset,result,module,count,total_amount,avg_amount
cap_warfare_received,Energy Neutralizer,Sleepless Keeper,74,6660,90.0
damage_done,Glances Off,Dual Giga Pulse Laser II,1,27472,27472.0
damage_done,Glances Off,Quad 800mm Repeating Cannon II,5,11039,2207.8
damage_done,Grazes,Dual Giga Pulse Laser II,9,155864,17318.222222222223
damage_done,Grazes,Quad 800mm Repeating Cannon II,16,20766,1297.875
damage_done,Hits,Dual Giga Pulse Laser II,9,294003,32667.0
damage_done,Hits,Quad 800mm Repeating Cannon II,15,39055,2603.6666666666665
damage_done,Misses completely,Dual Giga Pulse Laser II,2,0,0.0
damage_done,Penetrates,Dual Giga Pulse Laser II,6,205476,34246.0
damage_done,Penetrates,Quad 800mm Repeating Cannon II,4,21567,5391.75
damage_received,Hits,Phantasmata Missile,39,23217,595.3076923076923
