timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 21:20:32,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Andre Skywalker,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_202337_2059311182.txt,3912,[ 2026.01.15 21:20:32 ] (combat) Warp scramble attempt from Upgraded Avenger to Naglfar Fleet Issue [ECHO.] [INOU] [Andre Skywalker] -
2026.01.15 21:20:42,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Andre Skywalker,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_202337_2059311182.txt,3943;3944,[ 2026.01.15 21:20:42 ] (combat) Warp scramble attempt from Upgraded Avenger to Naglfar Fleet Issue [ECHO.] [INOU] [Andre Skywalker] -
2026.01.15 21:22:31,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Andre Skywalker,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,3,20260115_202337_2059311182.txt,4291;4292;4293,[ 2026.01.15 21:22:31 ] (combat) Warp scramble attempt from Upgraded Avenger to Naglfar Fleet Issue [ECHO.] [INOU] [Andre Skywalker] -
2026.01.15 20:29:47,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,75;76;77;99;100;101,[ 2026.01.15 20:29:47 ] (combat) Warp scramble attempt from Upgraded Avenger to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:32:45,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,373;374;648;649,[ 2026.01.15 20:32:45 ] (combat) Warp scramble attempt from Upgraded Avenger to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:42:37,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,787;1136;788;789;1140;1141,[ 2026.01.15 20:42:37 ] (combat) Warp scramble attempt from Upgraded Avenger to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:54:09,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1392;1393;1394;1867;1868;1869,[ 2026.01.15 20:54:09 ] (combat) Warp scramble attempt from Upgraded Avenger to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:06:19,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2038;2039;2040;2852;2853;2854,[ 2026.01.15 21:06:19 ] (combat) Warp scramble attempt from Upgraded Avenger to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:07:21,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2166;2167;2168;3037;3038;3039,[ 2026.01.15 21:07:21 ] (combat) Warp scramble attempt from Upgraded Avenger to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:20:50,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,3,20260115_202337_2059311182.txt,3971;3972;3973,[ 2026.01.15 21:20:50 ] (combat) Warp scramble attempt from Upgraded Avenger to you!
