dataset,timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
cap_warfare_received_npc,2026.01.15 20:29:23,1125,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Upgraded Avenger,T1,,,Energy Neutralizer,[ 2026.01.15 20:29:23 ] (combat) 1125 GJ energy neutralized Upgraded Avenger - Upgraded Avenger,35,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:29:23,1125,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Upgraded Avenger,T1,,,Energy Neutralizer,[ 2026.01.15 20:29:23 ] (combat) 1125 GJ energy neutralized Upgraded Avenger - Upgraded Avenger,36,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:29:33,1125,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Upgraded Avenger,Upgraded Avenger,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Upgraded Avenger,T1,,,Energy Neutralizer,[ 2026.01.15 20:29:33 ] (combat) 1125 GJ energy neutralized Upgraded Avenger - Upgraded Avenger,47,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:36:31,1500,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Drifter Response Battleship,T1,,,Energy Neutralizer,[ 2026.01.15 20:36:31 ] (combat) 1500 GJ energy neutralized Arithmos Tyrannos - Drifter Response Battleship,494,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:36:41,1500,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Drifter Response Battleship,T1,,,Energy Neutralizer,[ 2026.01.15 20:36:41 ] (combat) 1500 GJ energy neutralized Arithmos Tyrannos - Drifter Response Battleship,506,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:36:51,1500,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Drifter Response Battleship,T1,,,Energy Neutralizer,[ 2026.01.15 20:36:51 ] (combat) 1500 GJ energy neutralized Arithmos Tyrannos - Drifter Response Battleship,517,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:37:01,1500,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Drifter Response Battleship,T1,,,Energy Neutralizer,[ 2026.01.15 20:37:01 ] (combat) 1500 GJ energy neutralized Arithmos Tyrannos - Drifter Response Battleship,527,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:37:11,1500,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Drifter Response Battleship,T1,,,Energy Neutralizer,[ 2026.01.15 20:37:11 ] (combat) 1500 GJ energy neutralized Arithmos Tyrannos - Drifter Response Battleship,538,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:37:21,1500,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Drifter Response Battleship,T1,,,Energy Neutralizer,[ 2026.01.15 20:37:21 ] (combat) 1500 GJ energy neutralized Arithmos Tyrannos - Drifter Response Battleship,548,20260115_201152_1350587670.txt
cap_warfare_received_npc,2026.01.15 20:37:31,1500,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Owndaworld,Naglfar Fleet Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Drifter Response Battleship,T1,,,Energy Neutralizer,[ 2026.01.15 20:37:31 ] (combat) 1500 GJ energy neutralized Arithmos Tyrannos - Drifter Response Battleship,559,20260115_201152_1350587670.txt
