timestamp,channel,log_listener,text,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 20:29:23,combat,Owndaworld,1171 from Upgraded Avenger - Grazes,[ 2026.01.15 20:29:23 ] (combat) 1171 from Upgraded Avenger - Grazes,37,20260115_201152_1350587670.txt
2026.01.15 20:29:23,combat,Owndaworld,1924 from Upgraded Avenger - Hits,[ 2026.01.15 20:29:23 ] (combat) 1924 from Upgraded Avenger - Hits,38,20260115_201152_1350587670.txt
2026.01.15 20:29:23,combat,Owndaworld,2097 from Upgraded Avenger - Penetrates,[ 2026.01.15 20:29:23 ] (combat) 2097 from Upgraded Avenger - Penetrates,39,20260115_201152_1350587670.txt
2026.01.15 20:29:29,combat,Owndaworld,1135 from Upgraded Avenger - Grazes,[ 2026.01.15 20:29:29 ] (combat) 1135 from Upgraded Avenger - Grazes,43,20260115_201152_1350587670.txt
2026.01.15 20:29:29,combat,Owndaworld,1300 from Upgraded Avenger - Glances Off,[ 2026.01.15 20:29:29 ] (combat) 1300 from Upgraded Avenger - Glances Off,44,20260115_201152_1350587670.txt
2026.01.15 20:29:29,combat,Owndaworld,1026 from Upgraded Avenger - Grazes,[ 2026.01.15 20:29:29 ] (combat) 1026 from Upgraded Avenger - Grazes,45,20260115_201152_1350587670.txt
2026.01.15 20:29:35,combat,Owndaworld,2638 from Upgraded Avenger - Smashes,[ 2026.01.15 20:29:35 ] (combat) 2638 from Upgraded Avenger - Smashes,52,20260115_201152_1350587670.txt
2026.01.15 20:29:35,combat,Owndaworld,1638 from Upgraded Avenger - Hits,[ 2026.01.15 20:29:35 ] (combat) 1638 from Upgraded Avenger - Hits,53,20260115_201152_1350587670.txt
2026.01.15 20:29:35,combat,Owndaworld,2215 from Upgraded Avenger - Penetrates,[ 2026.01.15 20:29:35 ] (combat) 2215 from Upgraded Avenger - Penetrates,54,20260115_201152_1350587670.txt
2026.01.15 20:29:39,notify,Owndaworld,"You are already managing 7 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 20:29:39 ] (notify) You are already managing 7 targets, as many as your ship's electronics are capable of.",60,20260115_201152_1350587670.txt
2026.01.15 20:29:39,notify,Owndaworld,"You are already managing 7 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 20:29:39 ] (notify) You are already managing 7 targets, as many as your ship's electronics are capable of.",61,20260115_201152_1350587670.txt
