timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:42:11,140,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:42:11 ] (combat) 140 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,688,20260115_230059_1146915702.txt
2026.01.15 23:42:23,140,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:42:23 ] (combat) 140 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,745,20260115_230059_1146915702.txt
2026.01.15 23:42:35,140,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:42:35 ] (combat) 140 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,786,20260115_230059_1146915702.txt
2026.01.15 23:42:47,140,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:42:47 ] (combat) 140 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,841,20260115_230059_1146915702.txt
2026.01.15 23:42:59,140,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:42:59 ] (combat) 140 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,847,20260115_230059_1146915702.txt
2026.01.15 23:43:11,140,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:43:11 ] (combat) 140 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,854,20260115_230059_1146915702.txt
2026.01.15 23:43:22,138,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:43:22 ] (combat) 138 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,859,20260115_230059_1146915702.txt
2026.01.15 23:43:35,122,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:43:35 ] (combat) 122 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,865,20260115_230059_1146915702.txt
2026.01.15 23:43:47,140,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:43:47 ] (combat) 140 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,871,20260115_230059_1146915702.txt
2026.01.15 23:43:59,140,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Medium Energy Neutralizer II,T2,5,Tech II,Energy Neutralizer,[ 2026.01.15 23:43:59 ] (combat) 140 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Medium Energy Neutralizer II,879,20260115_230059_1146915702.txt
