timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:39:33,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Inferno Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:33 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Inferno Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,105,20260115_230059_1146915702.txt
2026.01.15 23:40:21,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Inferno Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:21 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Inferno Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,244,20260115_230059_1146915702.txt
2026.01.15 23:40:29,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Inferno Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:29 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Inferno Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,277,20260115_230059_1146915702.txt
2026.01.15 23:40:29,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Inferno Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:29 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Inferno Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,281,20260115_230059_1146915702.txt
2026.01.15 23:40:29,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Inferno Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:29 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Inferno Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,282,20260115_230059_1146915702.txt
2026.01.15 23:40:29,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Scourge Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:29 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Scourge Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,283,20260115_230059_1146915702.txt
2026.01.15 23:40:29,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Scourge Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:29 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Scourge Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,285,20260115_230059_1146915702.txt
2026.01.15 23:40:46,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Inferno Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:46 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Inferno Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,336,20260115_230059_1146915702.txt
2026.01.15 23:40:46,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Inferno Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:46 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Inferno Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,337,20260115_230059_1146915702.txt
2026.01.15 23:40:54,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Scourge Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:54 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Scourge Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,369,20260115_230059_1146915702.txt
2026.01.15 23:40:54,900,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Advanced Heavy Assault Missile,Inferno Rage Heavy Assault Missile,Advanced Heavy Assault Missile,T2,Tech II,NV,NVACA,charge,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:40:54 ] (combat) 900 to Advanced Heavy Assault Missile[NVACA](Inferno Rage Heavy Assault Missile) - Domination Medium Proton Smartbomb - Hits,371,20260115_230059_1146915702.txt
