timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:39:12,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:12 ] (combat) 38 from Tan mie[INOU](Cenotaph) - Domination Medium Proton Smartbomb - Hits,25,20260115_230059_1146915702.txt
2026.01.15 23:39:13,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:13 ] (combat) 38 from Tan mie[INOU](Cenotaph) - Domination Medium Proton Smartbomb - Hits,26,20260115_230059_1146915702.txt
2026.01.15 23:39:14,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:14 ] (combat) 38 from Turix[INOU](Sleipnir) - Domination Medium Proton Smartbomb - Hits,27,20260115_230059_1146915702.txt
2026.01.15 23:39:14,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,ImmortalisMyst,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:14 ] (combat) 38 from ImmortalisMyst[INOU](Loki) - Domination Medium Proton Smartbomb - Hits,28,20260115_230059_1146915702.txt
2026.01.15 23:39:14,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,TheRandomDan,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:14 ] (combat) 38 from TheRandomDan[INOU](Sleipnir) - Domination Medium Proton Smartbomb - Hits,29,20260115_230059_1146915702.txt
2026.01.15 23:39:14,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,JiJ Hinken,Rook,Combat Recon Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:14 ] (combat) 38 from JiJ Hinken[INOU](Rook) - Domination Medium Proton Smartbomb - Hits,30,20260115_230059_1146915702.txt
2026.01.15 23:39:14,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Andre Skywalker,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:14 ] (combat) 38 from Andre Skywalker[INOU](Loki) - Domination Medium Proton Smartbomb - Hits,31,20260115_230059_1146915702.txt
2026.01.15 23:39:15,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,JiJ Hinken,Rook,Combat Recon Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:15 ] (combat) 38 from JiJ Hinken[INOU](Rook) - Domination Medium Proton Smartbomb - Hits,32,20260115_230059_1146915702.txt
2026.01.15 23:39:15,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,muteassassin,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:15 ] (combat) 38 from muteassassin[INOU](Sleipnir) - Domination Medium Proton Smartbomb - Hits,33,20260115_230059_1146915702.txt
2026.01.15 23:39:15,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Elya Aylet,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:15 ] (combat) 38 from Elya Aylet[INOU](Sleipnir) - Domination Medium Proton Smartbomb - Hits,34,20260115_230059_1146915702.txt
2026.01.15 23:39:17,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Drakyrass,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:17 ] (combat) 38 from Drakyrass[INOU](Sleipnir) - Domination Medium Proton Smartbomb - Hits,35,20260115_230059_1146915702.txt
2026.01.15 23:39:17,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Maverick Parmala,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:17 ] (combat) 38 from Maverick Parmala[INOU](Sleipnir) - Domination Medium Proton Smartbomb - Hits,36,20260115_230059_1146915702.txt
2026.01.15 23:39:17,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Khan Zung,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:17 ] (combat) 38 from Khan Zung[INOU](Sleipnir) - Domination Medium Proton Smartbomb - Hits,51,20260115_230059_1146915702.txt
2026.01.15 23:39:18,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Duchess Tolmeightes,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:18 ] (combat) 38 from Duchess Tolmeightes[INOU](Sleipnir) - Domination Medium Proton Smartbomb - Hits,52,20260115_230059_1146915702.txt
2026.01.15 23:39:18,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:18 ] (combat) 38 from Tan mie[INOU](Cenotaph) - Domination Medium Proton Smartbomb - Hits,53,20260115_230059_1146915702.txt
2026.01.15 23:39:21,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:21 ] (combat) 38 from Tan mie[INOU](Cenotaph) - Domination Medium Proton Smartbomb - Hits,54,20260115_230059_1146915702.txt
2026.01.15 23:39:22,38,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,ImmortalisMyst,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:39:22 ] (combat) 38 from ImmortalisMyst[INOU](Loki) - Domination Medium Proton Smartbomb - Hits,55,20260115_230059_1146915702.txt
