timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:39:53,508,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:53 ] (combat) 508 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Pithum A-Type Medium Remote Shield Booster,176,20260115_230059_1146915702.txt
2026.01.15 23:39:59,508,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:59 ] (combat) 508 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Pithum A-Type Medium Remote Shield Booster,197,20260115_230059_1146915702.txt
2026.01.15 23:40:05,508,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:40:05 ] (combat) 508 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Pithum A-Type Medium Remote Shield Booster,207,20260115_230059_1146915702.txt
2026.01.15 23:40:12,508,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:40:12 ] (combat) 508 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Pithum A-Type Medium Remote Shield Booster,215,20260115_230059_1146915702.txt
2026.01.15 23:40:18,508,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:40:18 ] (combat) 508 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Pithum A-Type Medium Remote Shield Booster,231,20260115_230059_1146915702.txt
2026.01.15 23:40:24,508,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:40:24 ] (combat) 508 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Pithum A-Type Medium Remote Shield Booster,259,20260115_230059_1146915702.txt
2026.01.15 23:43:32,680,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Large Remote Shield Booster II,T2,5,Tech II,,[ 2026.01.15 23:43:32 ] (combat) 680 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Large Remote Shield Booster II,863,20260115_230059_1146915702.txt
2026.01.15 23:43:38,680,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Large Remote Shield Booster II,T2,5,Tech II,,[ 2026.01.15 23:43:38 ] (combat) 680 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Large Remote Shield Booster II,867,20260115_230059_1146915702.txt
2026.01.15 23:43:45,680,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Large Remote Shield Booster II,T2,5,Tech II,,[ 2026.01.15 23:43:45 ] (combat) 680 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Large Remote Shield Booster II,870,20260115_230059_1146915702.txt
2026.01.15 23:43:51,680,000666000,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,000666000,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Large Remote Shield Booster II,T2,5,Tech II,,[ 2026.01.15 23:43:51 ] (combat) 680 remote shield boosted by 0wnda [ECHO.][INOU] Basilisk - Large Remote Shield Booster II,873,20260115_230059_1146915702.txt
