timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:39:02,0,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Medium Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:39:02 ] (combat) 0 GJ energy neutralized Sacrilege [NV] [NVACA] [Deringston Xa'thon] - - Medium Gremlin Compact Energy Neutralizer,72,20260115_202340_94865292.txt
2026.01.15 23:40:06,7,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:06 ] (combat) 7 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,172,20260115_202340_94865292.txt
2026.01.15 23:40:06,7,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:06 ] (combat) 7 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,174,20260115_202340_94865292.txt
2026.01.15 23:40:08,10,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:08 ] (combat) 10 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,179,20260115_202340_94865292.txt
2026.01.15 23:40:30,134,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:30 ] (combat) 134 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,208,20260115_202340_94865292.txt
2026.01.15 23:40:30,134,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:30 ] (combat) 134 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,209,20260115_202340_94865292.txt
2026.01.15 23:40:32,156,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:32 ] (combat) 156 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,213,20260115_202340_94865292.txt
2026.01.15 23:40:54,449,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:54 ] (combat) 449 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,241,20260115_202340_94865292.txt
2026.01.15 23:40:54,449,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:54 ] (combat) 449 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,242,20260115_202340_94865292.txt
2026.01.15 23:40:56,475,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:40:56 ] (combat) 475 GJ energy neutralized Armageddon [NV] [NVACA] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,243,20260115_202340_94865292.txt
