timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:48:58,31,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Penetrates,[ 2026.01.15 23:48:58 ] (combat) 31 to sexy'beast[NVACA](Kitsune) - Warrior II - Penetrates,732,20260115_202340_94865292.txt
2026.01.15 23:48:58,29,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Hits,[ 2026.01.15 23:48:58 ] (combat) 29 to sexy'beast[NVACA](Kitsune) - Warrior II - Hits,733,20260115_202340_94865292.txt
2026.01.15 23:48:59,20,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Glances Off,[ 2026.01.15 23:48:59 ] (combat) 20 to sexy'beast[NVACA](Kitsune) - Warrior II - Glances Off,734,20260115_202340_94865292.txt
2026.01.15 23:48:59,37,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Smashes,[ 2026.01.15 23:48:59 ] (combat) 37 to sexy'beast[NVACA](Kitsune) - Warrior II - Smashes,735,20260115_202340_94865292.txt
2026.01.15 23:48:59,18,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Grazes,[ 2026.01.15 23:48:59 ] (combat) 18 to sexy'beast[NVACA](Kitsune) - Warrior II - Grazes,736,20260115_202340_94865292.txt
2026.01.15 23:49:01,30,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Penetrates,[ 2026.01.15 23:49:01 ] (combat) 30 to sexy'beast[NVACA](Kitsune) - Warrior II - Penetrates,740,20260115_202340_94865292.txt
2026.01.15 23:49:01,22,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Glances Off,[ 2026.01.15 23:49:01 ] (combat) 22 to sexy'beast[NVACA](Kitsune) - Warrior II - Glances Off,741,20260115_202340_94865292.txt
2026.01.15 23:49:03,20,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Glances Off,[ 2026.01.15 23:49:03 ] (combat) 20 to sexy'beast[NVACA](Kitsune) - Warrior II - Glances Off,742,20260115_202340_94865292.txt
2026.01.15 23:49:03,25,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Hits,[ 2026.01.15 23:49:03 ] (combat) 25 to sexy'beast[NVACA](Kitsune) - Warrior II - Hits,743,20260115_202340_94865292.txt
2026.01.15 23:49:03,27,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Warrior II,T2,5,Tech II,Hits,[ 2026.01.15 23:49:03 ] (combat) 27 to sexy'beast[NVACA](Kitsune) - Warrior II - Hits,744,20260115_202340_94865292.txt
