timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:40:45,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,,Vespa EC-600,Electronic Warfare Drone,T1,Standard,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Vespa EC-600,T1,,,ECM,[ 2026.01.15 23:40:45 ] (combat) You're jammed by Vespa EC-600 [NV] [NVACA] [Vespa EC-600] - - Vespa EC-600,236,20260115_202340_94865292.txt
2026.01.15 23:41:25,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,,Vespa EC-600,Electronic Warfare Drone,T1,Standard,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Vespa EC-600,T1,,,ECM,[ 2026.01.15 23:41:25 ] (combat) You're jammed by Vespa EC-600 [NV] [NVACA] [Vespa EC-600] - - Vespa EC-600,254,20260115_202340_94865292.txt
2026.01.15 23:41:25,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,,Vespa EC-600,Electronic Warfare Drone,T1,Standard,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Vespa EC-600,T1,,,ECM,[ 2026.01.15 23:41:25 ] (combat) You're jammed by Vespa EC-600 [NV] [NVACA] [Vespa EC-600] - - Vespa EC-600,255,20260115_202340_94865292.txt
2026.01.15 23:42:39,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,,Vespa EC-600,Electronic Warfare Drone,T1,Standard,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Vespa EC-600,T1,,,ECM,[ 2026.01.15 23:42:39 ] (combat) You're jammed by Vespa EC-600 [NV] [NVACA] [Vespa EC-600] - - Vespa EC-600,328,20260115_202340_94865292.txt
2026.01.15 23:45:18,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Gravimetric ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:45:18 ] (combat) You're jammed by Kitsune [NV] [NVACA] [sexy'beast] - - Gravimetric ECM II,535,20260115_202340_94865292.txt
2026.01.15 23:45:38,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Gravimetric ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:45:38 ] (combat) You're jammed by Kitsune [NV] [NVACA] [sexy'beast] - - Gravimetric ECM II,556,20260115_202340_94865292.txt
2026.01.15 23:45:57,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Gravimetric ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:45:57 ] (combat) You're jammed by Kitsune [NV] [NVACA] [sexy'beast] - - Gravimetric ECM II,575,20260115_202340_94865292.txt
2026.01.15 23:46:38,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Gravimetric ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:46:38 ] (combat) You're jammed by Kitsune [NV] [NVACA] [sexy'beast] - - Gravimetric ECM II,601,20260115_202340_94865292.txt
2026.01.15 23:48:41,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Gravimetric ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:48:41 ] (combat) You're jammed by Kitsune [NV] [NVACA] [sexy'beast] - - Gravimetric ECM II,716,20260115_202340_94865292.txt
2026.01.15 23:50:45,,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Gravimetric ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:50:45 ] (combat) You're jammed by Kitsune [NV] [NVACA] [sexy'beast] - - Gravimetric ECM II,873,20260115_202340_94865292.txt
