dataset,result,module,count,total_amount,avg_amount
cap_warfare_received,Energy Neutralizer,Heavy Gremlin Compact Energy Neutralizer,18,6771,376.1666666666667
cap_warfare_received,Energy Neutralizer,Medium Gremlin Compact Energy Neutralizer,1,0,0.0
capacitor_done,Remote Capacitor Transfer,Large Remote Capacitor Transmitter II,702,157260,224.01709401709402
capacitor_received,Remote Capacitor Transfer,Large Remote Capacitor Transmitter II,347,77226,222.55331412103746
damage_done,Glances Off,Warrior II,19,197,10.368421052631579
damage_done,Grazes,Warrior II,12,100,8.333333333333334
damage_done,Hits,Warrior II,33,531,16.09090909090909
damage_done,Penetrates,Warrior II,23,470,20.434782608695652
damage_done,Smashes,Warrior II,21,382,18.19047619047619
damage_received,Grazes,Warrior II,1,10,10.0
damage_received,Hits,Domination Medium Proton Smartbomb,15,570,38.0
damage_received,Hits,Inferno Rage Heavy Assault Missile,28,1220,43.57142857142857
damage_received,Hits,Scourge Rage Heavy Assault Missile,6,321,53.5
damage_received,Hits,Warrior II,2,25,12.5
damage_received,Misses completely,Warrior II,1,0,0.0
damage_received,Penetrates,Warrior II,2,32,16.0
damage_received,Smashes,Warrior II,1,21,21.0
ewar_effects_received,ECM,Gravimetric ECM II,6,,
ewar_effects_received,ECM,Vespa EC-600,4,,
propulsion_jam_attempts,Attempt,,1,,
repairs_done,,Large Remote Shield Booster II,132,71460,541.3636363636364
repairs_done,,Pithum A-Type Medium Remote Shield Booster,129,52742,408.85271317829455
repairs_received,,Large Remote Shield Booster II,22,8386,381.1818181818182
repairs_received,,Pithum A-Type Medium Remote Shield Booster,24,7695,320.625
