timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:43:10,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Ampika Zarelli,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3240;364;853;5387;746;292,[ 2026.01.15 23:43:10 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Loki [ECHO.] [INOU] [Ampika Zarelli] -
2026.01.15 23:48:49,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3643;724;1754;5988;1299;1028,[ 2026.01.15 23:48:49 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Bifrost [ECHO.] [INOU] [JiJ Hinken] -
2026.01.15 23:45:49,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3453;569;972;5581;903;474,[ 2026.01.15 23:45:49 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:46:47,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3507;607;1137;5679;1023;677,[ 2026.01.15 23:46:47 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:49:08,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3660;754;1852;6015;1340;1088,[ 2026.01.15 23:49:08 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:49:22,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225941_548047231.txt,1168,[ 2026.01.15 23:49:22 ] (combat) Warp scramble attempt from Deringston Xa'thon [NV][NVACA] Sacrilege to Tan mie [ECHO.][INOU] Cenotaph
2026.01.15 23:49:53,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3695;797;2102;6044;1440,[ 2026.01.15 23:49:53 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:41:23,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3086;253;502;5240;517;113,[ 2026.01.15 23:41:23 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:50:20,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3724;831;2208;6080;1456,[ 2026.01.15 23:50:20 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:51:29,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3790;922;2232;6134;1503,[ 2026.01.15 23:51:29 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Loki [ECHO.] [INOU] [Zula Rage] -
