dataset,result,module,count,total_amount,avg_amount
cap_warfare_received,Energy Neutralizer,Medium Gremlin Compact Energy Neutralizer,1,0,0.0
damage_done,Glances Off,Warrior II,16,77,4.8125
damage_done,Grazes,Warrior II,16,63,3.9375
damage_done,Hits,Domination Medium Proton Smartbomb,25,405,16.2
damage_done,Hits,Warrior II,28,174,6.214285714285714
damage_done,Penetrates,Warrior II,32,254,7.9375
damage_done,Smashes,Warrior II,32,309,9.65625
damage_received,Hits,Caldari Navy Scourge Heavy Assault Missile,11,3709,337.1818181818182
damage_received,Hits,Inferno Rage Heavy Assault Missile,56,8803,157.19642857142858
ewar_effects_received,ECM,Languid Enduring Ladar ECM,9,,
propulsion_jam_attempts,Attempt,,10,,
