timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:51:06,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,0wnda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3772;890;2229;6128;1486,[ 2026.01.15 23:51:06 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Basilisk [ECHO.] [INOU] [0wnda] -
2026.01.15 23:52:35,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1064;1551,[ 2026.01.15 23:52:35 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Bifrost [ECHO.] [INOU] [JiJ Hinken] -
2026.01.15 23:50:44,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Khan Zung,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3754;871;2221;6117;1469,[ 2026.01.15 23:50:44 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Sleipnir [ECHO.] [INOU] [Khan Zung] -
2026.01.15 23:46:46,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3503;606;1135;5677;1020;672,[ 2026.01.15 23:46:46 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Basilisk [ECHO.] [INOU] [Ownda] -
2026.01.15 23:49:22,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225941_548047231.txt,1165,[ 2026.01.15 23:49:22 ] (combat) Warp scramble attempt from Francis the Mute [NV][NVACA] Heretic to Ownda [ECHO.][INOU] Basilisk
2026.01.15 23:52:17,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1025;1540,[ 2026.01.15 23:52:17 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Sleipnir [ECHO.] [INOU] [Turix] -
2026.01.15 23:52:41,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1069;1555,[ 2026.01.15 23:52:41 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Sleipnir [ECHO.] [INOU] [Turix] -
2026.01.15 23:50:24,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3731;838;2211;6086;1458,[ 2026.01.15 23:50:24 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:55:11,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1706,[ 2026.01.15 23:55:11 ] (combat) Warp scramble attempt from Heretic [NV] [Francis the Mute] - to you!
2026.01.15 23:52:35,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Warp scramble attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1063;1550,[ 2026.01.15 23:52:35 ] (combat) Warp scramble attempt from Bifrost [ECHO.] [INOU] [JiJ Hinken] - to Heretic [NV] [NVACA] [Francis the Mute] -
