timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:48:50,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3645;725;1757;5990;1301;1034,[ 2026.01.15 23:48:50 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Bifrost [ECHO.] [INOU] [JiJ Hinken] -
2026.01.15 23:45:07,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Cattington,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Rook,Combat Recon Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3409;516;956;5530;883;450,[ 2026.01.15 23:45:07 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Cryo Cattington] - to Rook [ECHO.] [INOU] [JiJ Hinken] -
2026.01.15 23:53:00,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Cattington,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1586,[ 2026.01.15 23:53:00 ] (combat) Warp scramble attempt from Sacrilege [NV] [Cryo Cattington] - to Bifrost [ECHO.] [JiJ Hinken] -
2026.01.15 23:48:49,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3643;724;1754;5988;1299;1028,[ 2026.01.15 23:48:49 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Bifrost [ECHO.] [INOU] [JiJ Hinken] -
2026.01.15 23:52:35,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1064;1551,[ 2026.01.15 23:52:35 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Bifrost [ECHO.] [INOU] [JiJ Hinken] -
2026.01.15 23:44:10,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,International Shoe,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Rook,Combat Recon Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3324;444;890;5458;805;384,[ 2026.01.15 23:44:10 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [International Shoe] - to Rook [ECHO.] [INOU] [JiJ Hinken] -
2026.01.15 23:52:35,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Warp scramble attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1063;1550,[ 2026.01.15 23:52:35 ] (combat) Warp scramble attempt from Bifrost [ECHO.] [INOU] [JiJ Hinken] - to Heretic [NV] [NVACA] [Francis the Mute] -
2026.01.15 23:52:56,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,MissileFart,Devoter,Heavy Interdiction Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp disruption attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1580,[ 2026.01.15 23:52:56 ] (combat) Warp disruption attempt from Devoter [NV] [MissileFart] - to Bifrost [ECHO.] [JiJ Hinken] -
2026.01.15 23:53:12,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,MissileFart,Devoter,Heavy Interdiction Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1604,[ 2026.01.15 23:53:12 ] (combat) Warp scramble attempt from Devoter [NV] [MissileFart] - to Bifrost [ECHO.] [JiJ Hinken] -
2026.01.15 23:48:48,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3640;723;1750;5987;1296;1023,[ 2026.01.15 23:48:48 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Roman Furrer] - to Bifrost [ECHO.] [INOU] [JiJ Hinken] -
