dataset,timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
repairs_done_players,2026.01.15 23:39:26,491,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:26 ] (combat) 491 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,26,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:26,490,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:26 ] (combat) 490 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,27,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:29,486,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:29 ] (combat) 486 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,28,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:34,477,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:34 ] (combat) 477 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,29,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:34,477,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:34 ] (combat) 477 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,30,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:37,469,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:37 ] (combat) 469 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,31,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:40,463,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:40 ] (combat) 463 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,33,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:40,462,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:40 ] (combat) 462 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,34,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:42,459,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:42 ] (combat) 459 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,35,20260115_225941_548047231.txt
repairs_done_players,2026.01.15 23:39:47,456,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Pithum A-Type Medium Remote Shield Booster,T1,6,Deadspace,,[ 2026.01.15 23:39:47 ] (combat) 456 remote shield boosted to Tan mie [ECHO.][INOU] Cenotaph - Pithum A-Type Medium Remote Shield Booster,36,20260115_225941_548047231.txt
