timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:41:19,1,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Medium Energy Nosferatu II,T2,5,Tech II,Energy Nosferatu,[ 2026.01.15 23:41:19 ] (combat) -1 GJ energy drained to Kariya Uta [NV][NVACA] Scorpion - Medium Energy Nosferatu II,101,20260115_225941_548047231.txt
2026.01.15 23:41:20,1,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Medium Energy Nosferatu II,T2,5,Tech II,Energy Nosferatu,[ 2026.01.15 23:41:20 ] (combat) -1 GJ energy drained to Kariya Uta [NV][NVACA] Scorpion - Medium Energy Nosferatu II,102,20260115_225941_548047231.txt
2026.01.15 23:41:23,74,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Energy Nosferatu II,T2,5,Tech II,Energy Nosferatu,[ 2026.01.15 23:41:23 ] (combat) -74 GJ energy drained to Kariya Uta [NV][NVACA] Scorpion - Heavy Energy Nosferatu II,110,20260115_225941_548047231.txt
2026.01.15 23:41:23,74,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Energy Nosferatu II,T2,5,Tech II,Energy Nosferatu,[ 2026.01.15 23:41:23 ] (combat) -74 GJ energy drained to Kariya Uta [NV][NVACA] Scorpion - Heavy Energy Nosferatu II,111,20260115_225941_548047231.txt
2026.01.15 23:41:23,74,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Energy Nosferatu II,T2,5,Tech II,Energy Nosferatu,[ 2026.01.15 23:41:23 ] (combat) -74 GJ energy drained to Kariya Uta [NV][NVACA] Scorpion - Heavy Energy Nosferatu II,112,20260115_225941_548047231.txt
2026.01.15 23:45:57,341,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:45:57 ] (combat) 341 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Heavy Gremlin Compact Energy Neutralizer,486,20260115_225941_548047231.txt
2026.01.15 23:46:21,341,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:46:21 ] (combat) 341 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Heavy Gremlin Compact Energy Neutralizer,562,20260115_225941_548047231.txt
2026.01.15 23:46:45,341,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:46:45 ] (combat) 341 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Heavy Gremlin Compact Energy Neutralizer,663,20260115_225941_548047231.txt
2026.01.15 23:47:09,341,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:47:09 ] (combat) 341 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Heavy Gremlin Compact Energy Neutralizer,723,20260115_225941_548047231.txt
2026.01.15 23:47:33,341,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:47:33 ] (combat) 341 GJ energy neutralized Mick Fightmaster [NV][NVACA] Armageddon - Heavy Gremlin Compact Energy Neutralizer,807,20260115_225941_548047231.txt
