timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:40:01,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Ladar ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:40:01 ] (combat) You're jammed by Kariya Uta [NV][NVACA] Scorpion - Ladar ECM II,56,20260115_225941_548047231.txt
2026.01.15 23:40:30,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Halting Compact Ladar ECM,T1,1,Tech I,ECM,[ 2026.01.15 23:40:30 ] (combat) You're jammed by Roman Furrer [NV][NVACA] Sacrilege - Halting Compact Ladar ECM,63,20260115_225941_548047231.txt
2026.01.15 23:42:06,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Ladar ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:42:06 ] (combat) You're jammed by Kariya Uta [NV][NVACA] Scorpion - Ladar ECM II,186,20260115_225941_548047231.txt
2026.01.15 23:42:46,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Ladar ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:42:46 ] (combat) You're jammed by Kariya Uta [NV][NVACA] Scorpion - Ladar ECM II,287,20260115_225941_548047231.txt
2026.01.15 23:43:26,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Ladar ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:43:26 ] (combat) You're jammed by Kariya Uta [NV][NVACA] Scorpion - Ladar ECM II,322,20260115_225941_548047231.txt
2026.01.15 23:46:01,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Ladar ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:46:01 ] (combat) You're jammed by Kariya Uta [NV][NVACA] Scorpion - Ladar ECM II,501,20260115_225941_548047231.txt
2026.01.15 23:46:04,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Ladar ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:46:04 ] (combat) You're jammed by sexy'beast [NV][NVACA] Kitsune - Ladar ECM II,512,20260115_225941_548047231.txt
2026.01.15 23:46:21,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Ladar ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:46:21 ] (combat) You're jammed by Kariya Uta [NV][NVACA] Scorpion - Ladar ECM II,561,20260115_225941_548047231.txt
2026.01.15 23:46:25,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,sexy'beast,Kitsune,Electronic Attack Ship,T2,Tech II,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Ladar ECM II,T2,5,Tech II,ECM,[ 2026.01.15 23:46:25 ] (combat) You're jammed by sexy'beast [NV][NVACA] Kitsune - Ladar ECM II,576,20260115_225941_548047231.txt
2026.01.15 23:46:30,,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Halting Compact Ladar ECM,T1,1,Tech I,ECM,[ 2026.01.15 23:46:30 ] (combat) You're jammed by Roman Furrer [NV][NVACA] Sacrilege - Halting Compact Ladar ECM,596,20260115_225941_548047231.txt
