timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:41:47,40,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,5z tdtzud,Claymore,Command Ship,T2,Tech II,ECHO.,INOU,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:41:47 ] (combat) 40 from 5z tdtzud[INOU](Claymore) - Domination Medium Proton Smartbomb - Hits,5271,20260115_202337_2059311182.txt
2026.01.15 23:41:51,40,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,5z tdtzud,Claymore,Command Ship,T2,Tech II,ECHO.,INOU,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:41:51 ] (combat) 40 from 5z tdtzud[INOU](Claymore) - Domination Medium Proton Smartbomb - Hits,5276,20260115_202337_2059311182.txt
2026.01.15 23:41:55,40,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,5z tdtzud,Claymore,Command Ship,T2,Tech II,ECHO.,INOU,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:41:55 ] (combat) 40 from 5z tdtzud[INOU](Claymore) - Domination Medium Proton Smartbomb - Hits,5281,20260115_202337_2059311182.txt
2026.01.15 23:41:59,40,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,5z tdtzud,Claymore,Command Ship,T2,Tech II,ECHO.,INOU,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:41:59 ] (combat) 40 from 5z tdtzud[INOU](Claymore) - Domination Medium Proton Smartbomb - Hits,5285,20260115_202337_2059311182.txt
2026.01.15 23:42:02,40,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,5z tdtzud,Claymore,Command Ship,T2,Tech II,ECHO.,INOU,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:42:02 ] (combat) 40 from 5z tdtzud[INOU](Claymore) - Domination Medium Proton Smartbomb - Hits,5292,20260115_202337_2059311182.txt
2026.01.15 23:42:06,40,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,5z tdtzud,Claymore,Command Ship,T2,Tech II,ECHO.,INOU,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Domination Medium Proton Smartbomb,T1,4,Faction,Hits,[ 2026.01.15 23:42:06 ] (combat) 40 from 5z tdtzud[INOU](Claymore) - Domination Medium Proton Smartbomb - Hits,5299,20260115_202337_2059311182.txt
2026.01.15 23:45:42,6,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Hammerhead II,T2,5,Tech II,Grazes,[ 2026.01.15 23:45:42 ] (combat) 6 from Roman Furrer[NVACA](Sacrilege) - Hammerhead II - Grazes,5565,20260115_202337_2059311182.txt
2026.01.15 23:45:42,0,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Hammerhead II,Combat Drone,T2,Tech II,NV,NVACA,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Hammerhead II,T2,5,Tech II,Misses completely,[ 2026.01.15 23:45:42 ] (combat) Hammerhead II belonging to Roman Furrer misses you completely - Hammerhead II,5566,20260115_202337_2059311182.txt
2026.01.15 23:45:45,11,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Hammerhead II,T2,5,Tech II,Penetrates,[ 2026.01.15 23:45:45 ] (combat) 11 from Roman Furrer[NVACA](Sacrilege) - Hammerhead II - Penetrates,5567,20260115_202337_2059311182.txt
2026.01.15 23:45:45,11,Ownda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Ownda,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Hammerhead II,T2,5,Tech II,Penetrates,[ 2026.01.15 23:45:45 ] (combat) 11 from Roman Furrer[NVACA](Sacrilege) - Hammerhead II - Penetrates,5568,20260115_202337_2059311182.txt
