dataset,result,module,count,total_amount,avg_amount
damage_done,Glances Off,425mm AutoCannon II,4,723,180.75
damage_done,Grazes,425mm AutoCannon II,14,1073,76.64285714285714
damage_done,Hits,425mm AutoCannon II,2,482,241.0
damage_done,Hits,Domination Medium Proton Smartbomb,25,388,15.52
damage_done,Misses completely,425mm AutoCannon II,7,0,0.0
damage_done,Penetrates,425mm AutoCannon II,1,268,268.0
damage_received,Glances Off,Hammerhead II,28,224,8.0
damage_received,Grazes,Hammerhead II,30,197,6.566666666666666
damage_received,Hits,Hammerhead II,37,374,10.108108108108109
damage_received,Hits,Inferno Rage Heavy Assault Missile,20,7233,361.65
damage_received,Misses completely,Hammerhead II,19,0,0.0
damage_received,Penetrates,Hammerhead II,62,769,12.403225806451612
damage_received,Smashes,Hammerhead II,34,525,15.441176470588236
damage_received,Wrecks,Hammerhead II,2,80,40.0
ewar_effects_received,ECM,Halting Compact Ladar ECM,3,,
propulsion_jam_attempts,Attempt,,6,,
