timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:45:48,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3445;565;968;5575;898;470,[ 2026.01.15 23:45:48 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:51:04,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3771;889;2228;6127;1484,[ 2026.01.15 23:51:04 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:39:38,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Compelled Discovery,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,2952;139;118;5083;106;32,[ 2026.01.15 23:39:38 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Compelled Discovery] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:47:38,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Compelled Discovery,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3554;652;1408;5790;1158;831,[ 2026.01.15 23:47:38 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Compelled Discovery] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:49:22,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Compelled Discovery,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225941_548047231.txt,1163,[ 2026.01.15 23:49:22 ] (combat) Warp scramble attempt from Compelled Discovery [NV][NVACA] Sacrilege to Tan mie [ECHO.][INOU] Cenotaph
2026.01.15 23:50:25,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Compelled Discovery,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3733;841;2213;6089;1460,[ 2026.01.15 23:50:25 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Compelled Discovery] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:45:49,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Cattington,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3452;568;971;5580;902;473,[ 2026.01.15 23:45:49 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Cryo Cattington] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:49:22,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Cattington,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225941_548047231.txt,1164,[ 2026.01.15 23:49:22 ] (combat) Warp scramble attempt from Cryo Cattington [NV][NVACA] Sacrilege to Tan mie [ECHO.][INOU] Cenotaph
2026.01.15 23:48:42,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Jolton,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3633;718;1706;5975;1283;1005,[ 2026.01.15 23:48:42 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Cryo Jolton] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:49:22,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Jolton,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225941_548047231.txt,1167,[ 2026.01.15 23:49:22 ] (combat) Warp scramble attempt from Cryo Jolton [NV][NVACA] Sacrilege to Tan mie [ECHO.][INOU] Cenotaph
