timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:53:14,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1610,[ 2026.01.15 23:53:14 ] (combat) Warp scramble attempt from Sacrilege [NV] [Berserk Horse] - to Sleipnir [ECHO.] [Turix] -
2026.01.15 23:53:38,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Compelled Discovery,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1640,[ 2026.01.15 23:53:38 ] (combat) Warp scramble attempt from Sacrilege [NV] [Compelled Discovery] - to Sleipnir [ECHO.] [Turix] -
2026.01.15 23:53:52,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Cattington,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1654,[ 2026.01.15 23:53:52 ] (combat) Warp scramble attempt from Sacrilege [NV] [Cryo Cattington] - to Sleipnir [ECHO.] [Turix] -
2026.01.15 23:53:16,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Jolton,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1611,[ 2026.01.15 23:53:16 ] (combat) Warp scramble attempt from Sacrilege [NV] [Cryo Jolton] - to Sleipnir [ECHO.] [Turix] -
2026.01.15 23:52:17,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1025;1540,[ 2026.01.15 23:52:17 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Sleipnir [ECHO.] [INOU] [Turix] -
2026.01.15 23:52:41,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1069;1555,[ 2026.01.15 23:52:41 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Sleipnir [ECHO.] [INOU] [Turix] -
2026.01.15 23:53:38,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,International Shoe,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1641,[ 2026.01.15 23:53:38 ] (combat) Warp scramble attempt from Sacrilege [NV] [International Shoe] - to Sleipnir [ECHO.] [Turix] -
2026.01.15 23:52:44,0wnda,fight_002_15jan2026_23-38_TO_15jan2026_23-56,MissileFart,Devoter,Heavy Interdiction Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp disruption attempt,,,,,Attempt,2,20260115_202340_94865292.txt;20260115_225541_1797692549.txt,1080;1559,[ 2026.01.15 23:52:44 ] (combat) Warp disruption attempt from Devoter [NV] [NVACA] [MissileFart] - to Sleipnir [ECHO.] [INOU] [Turix] -
2026.01.15 23:53:28,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,MissileFart,Devoter,Heavy Interdiction Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp disruption attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1627,[ 2026.01.15 23:53:28 ] (combat) Warp disruption attempt from Devoter [NV] [MissileFart] - to Sleipnir [ECHO.] [Turix] -
2026.01.15 23:53:25,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1622,[ 2026.01.15 23:53:25 ] (combat) Warp scramble attempt from Sacrilege [NV] [Roman Furrer] - to Sleipnir [ECHO.] [Turix] -
