timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:40:24,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Compelled Discovery,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3003;201;261;5155;202;60,[ 2026.01.15 23:40:24 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Compelled Discovery] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:55:35,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Cattington,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1734,[ 2026.01.15 23:55:35 ] (combat) Warp scramble attempt from Sacrilege [NV] [Cryo Cattington] - to you!
2026.01.15 23:41:23,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3086;253;502;5240;517;113,[ 2026.01.15 23:41:23 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:50:20,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3724;831;2208;6080;1456,[ 2026.01.15 23:50:20 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:51:29,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Deringston Xa'thon,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3790;922;2232;6134;1503,[ 2026.01.15 23:51:29 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Deringston Xa'thon] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:50:24,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3731;838;2211;6086;1458,[ 2026.01.15 23:50:24 ] (combat) Warp scramble attempt from Heretic [NV] [NVACA] [Francis the Mute] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:55:11,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Francis the Mute,Heretic,Interdictor,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1706,[ 2026.01.15 23:55:11 ] (combat) Warp scramble attempt from Heretic [NV] [Francis the Mute] - to you!
2026.01.15 23:40:22,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,International Shoe,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,2997;198;258;5153;194;59,[ 2026.01.15 23:40:22 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [International Shoe] - to Loki [ECHO.] [INOU] [Zula Rage] -
2026.01.15 23:55:34,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,MissileFart,Devoter,Heavy Interdiction Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp disruption attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1731,[ 2026.01.15 23:55:34 ] (combat) Warp disruption attempt from Devoter [NV] [MissileFart] - to you!
2026.01.15 23:40:28,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Nate Titain,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3008;207;267;5166;216;62,[ 2026.01.15 23:40:28 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Nate Titain] - to Loki [ECHO.] [INOU] [Zula Rage] -
