timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:38:58,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:38:58 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,33,20260115_225541_1797692549.txt
2026.01.15 23:38:58,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:38:58 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,34,20260115_225541_1797692549.txt
2026.01.15 23:39:13,330,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:39:13 ] (combat) 330 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,36,20260115_225541_1797692549.txt
2026.01.15 23:39:37,275,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:39:37 ] (combat) 275 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,99,20260115_225541_1797692549.txt
2026.01.15 23:41:28,102,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,social Dee,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Medium Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:41:28 ] (combat) 102 GJ energy neutralized Sacrilege [NV] [social Dee] - - Medium Gremlin Compact Energy Neutralizer,536,20260115_225541_1797692549.txt
2026.01.15 23:41:31,55,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,minrat1,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Medium Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:41:31 ] (combat) 55 GJ energy neutralized Sacrilege [NV] [minrat1] - - Medium Gremlin Compact Energy Neutralizer,543,20260115_225541_1797692549.txt
2026.01.15 23:41:40,34,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,social Dee,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Medium Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:41:40 ] (combat) 34 GJ energy neutralized Sacrilege [NV] [social Dee] - - Medium Gremlin Compact Energy Neutralizer,583,20260115_225541_1797692549.txt
2026.01.15 23:41:43,97,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,minrat1,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Medium Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:41:43 ] (combat) 97 GJ energy neutralized Sacrilege [NV] [minrat1] - - Medium Gremlin Compact Energy Neutralizer,593,20260115_225541_1797692549.txt
2026.01.15 23:45:54,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:45:54 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,905,20260115_225541_1797692549.txt
2026.01.15 23:45:55,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:45:55 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,906,20260115_225541_1797692549.txt
2026.01.15 23:45:55,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:45:55 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,908,20260115_225541_1797692549.txt
2026.01.15 23:46:18,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:46:18 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,945,20260115_225541_1797692549.txt
2026.01.15 23:46:19,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:46:19 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,947,20260115_225541_1797692549.txt
2026.01.15 23:46:19,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:46:19 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,949,20260115_225541_1797692549.txt
2026.01.15 23:46:42,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:46:42 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,1004,20260115_225541_1797692549.txt
2026.01.15 23:46:43,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:46:43 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,1007,20260115_225541_1797692549.txt
2026.01.15 23:46:43,341,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Mick Fightmaster,Armageddon,Battleship,T1,Tech I,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Heavy Gremlin Compact Energy Neutralizer,T1,1,Tech I,Energy Neutralizer,[ 2026.01.15 23:46:43 ] (combat) 341 GJ energy neutralized Armageddon [NV] [Mick Fightmaster] - - Heavy Gremlin Compact Energy Neutralizer,1009,20260115_225541_1797692549.txt
