timestamp,channel,log_listener,text,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:42:06,notify,Zula Rage,You have lost your target lock on [I] 6F6. All modules being used on their vessel will be deactivated.,[ 2026.01.15 23:42:06 ] (notify) You have lost your target lock on [I] 6F6. All modules being used on their vessel will be deactivated.,653,20260115_225541_1797692549.txt
2026.01.15 23:42:06,notify,Zula Rage,You have lost your target lock on [I] 6F6. All modules being used on their vessel will be deactivated.,[ 2026.01.15 23:42:06 ] (notify) You have lost your target lock on [I] 6F6. All modules being used on their vessel will be deactivated.,654,20260115_225541_1797692549.txt
2026.01.15 23:42:06,notify,Zula Rage,You have lost your target lock on [I] 6F6. All modules being used on their vessel will be deactivated.,[ 2026.01.15 23:42:06 ] (notify) You have lost your target lock on [I] 6F6. All modules being used on their vessel will be deactivated.,655,20260115_225541_1797692549.txt
2026.01.15 23:43:09,notify,Zula Rage,You have lost your target lock on [I] Luna. All modules being used on their vessel will be deactivated.,[ 2026.01.15 23:43:09 ] (notify) You have lost your target lock on [I] Luna. All modules being used on their vessel will be deactivated.,739,20260115_225541_1797692549.txt
2026.01.15 23:43:09,notify,Zula Rage,You have lost your target lock on [I] Luna. All modules being used on their vessel will be deactivated.,[ 2026.01.15 23:43:09 ] (notify) You have lost your target lock on [I] Luna. All modules being used on their vessel will be deactivated.,740,20260115_225541_1797692549.txt
2026.01.15 23:43:09,notify,Zula Rage,You have lost your target lock on [I] Luna. All modules being used on their vessel will be deactivated.,[ 2026.01.15 23:43:09 ] (notify) You have lost your target lock on [I] Luna. All modules being used on their vessel will be deactivated.,741,20260115_225541_1797692549.txt
2026.01.15 23:43:09,notify,Zula Rage,You have lost your target lock on [I] Luna. All modules being used on their vessel will be deactivated.,[ 2026.01.15 23:43:09 ] (notify) You have lost your target lock on [I] Luna. All modules being used on their vessel will be deactivated.,742,20260115_225541_1797692549.txt
2026.01.15 23:43:09,notify,Zula Rage,"Pithum B-Type Medium Remote Shield Booster deactivates because its target, [I] Luna, is not locked.","[ 2026.01.15 23:43:09 ] (notify) Pithum B-Type Medium Remote Shield Booster deactivates because its target, [I] Luna, is not locked.",745,20260115_225541_1797692549.txt
2026.01.15 23:43:16,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:16 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",748,20260115_225541_1797692549.txt
2026.01.15 23:43:17,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:17 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",749,20260115_225541_1797692549.txt
2026.01.15 23:43:17,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:17 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",750,20260115_225541_1797692549.txt
2026.01.15 23:43:18,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:18 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",751,20260115_225541_1797692549.txt
2026.01.15 23:43:19,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:19 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",752,20260115_225541_1797692549.txt
2026.01.15 23:43:24,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:24 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",753,20260115_225541_1797692549.txt
2026.01.15 23:43:25,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:25 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",754,20260115_225541_1797692549.txt
2026.01.15 23:43:26,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:26 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",756,20260115_225541_1797692549.txt
2026.01.15 23:43:27,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:27 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",758,20260115_225541_1797692549.txt
2026.01.15 23:43:34,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:34 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",759,20260115_225541_1797692549.txt
2026.01.15 23:43:35,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:35 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",760,20260115_225541_1797692549.txt
2026.01.15 23:43:36,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:36 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",761,20260115_225541_1797692549.txt
2026.01.15 23:43:36,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:36 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",763,20260115_225541_1797692549.txt
2026.01.15 23:43:37,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:37 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",764,20260115_225541_1797692549.txt
2026.01.15 23:43:37,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:37 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",765,20260115_225541_1797692549.txt
2026.01.15 23:43:37,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:37 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",766,20260115_225541_1797692549.txt
2026.01.15 23:43:38,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:38 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",767,20260115_225541_1797692549.txt
2026.01.15 23:43:38,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:38 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",768,20260115_225541_1797692549.txt
2026.01.15 23:43:39,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:39 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",769,20260115_225541_1797692549.txt
2026.01.15 23:43:46,notify,Zula Rage,"You are already managing 0 targets, as many as your ship's electronics are capable of.","[ 2026.01.15 23:43:46 ] (notify) You are already managing 0 targets, as many as your ship's electronics are capable of.",774,20260115_225541_1797692549.txt
2026.01.15 23:44:04,notify,Zula Rage,Targeting attempt failed as the designated object is no longer present.,[ 2026.01.15 23:44:04 ] (notify) Targeting attempt failed as the designated object is no longer present.,787,20260115_225541_1797692549.txt
