timestamp,amount,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,module,module_tech_level,module_meta_level,module_meta_group,result,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 23:40:44,680,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Owndaworld,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Large Remote Shield Booster II,,,,,[ 2026.01.15 23:40:44 ] (combat) 680 remote shield boosted by Basilisk [ECHO.] [Owndaworld] - - Large Remote Shield Booster II,267,20260115_225541_1797692549.txt
2026.01.15 23:40:44,508,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Owndaworld,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Pithum A-Type Medium Remote Shield Booster,,,,,[ 2026.01.15 23:40:44 ] (combat) 508 remote shield boosted by Basilisk [ECHO.] [Owndaworld] - - Pithum A-Type Medium Remote Shield Booster,268,20260115_225541_1797692549.txt
2026.01.15 23:40:44,680,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Owndaworld,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Large Remote Shield Booster II,,,,,[ 2026.01.15 23:40:44 ] (combat) 680 remote shield boosted by Basilisk [ECHO.] [Owndaworld] - - Large Remote Shield Booster II,269,20260115_225541_1797692549.txt
2026.01.15 23:40:44,507,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Owndaworld,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Pithum A-Type Medium Remote Shield Booster,,,,,[ 2026.01.15 23:40:44 ] (combat) 507 remote shield boosted by Basilisk [ECHO.] [Owndaworld] - - Pithum A-Type Medium Remote Shield Booster,272,20260115_225541_1797692549.txt
2026.01.15 23:40:50,679,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Owndaworld,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Large Remote Shield Booster II,,,,,[ 2026.01.15 23:40:50 ] (combat) 679 remote shield boosted by Basilisk [ECHO.] [Owndaworld] - - Large Remote Shield Booster II,301,20260115_225541_1797692549.txt
2026.01.15 23:40:50,507,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Owndaworld,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Pithum A-Type Medium Remote Shield Booster,,,,,[ 2026.01.15 23:40:50 ] (combat) 507 remote shield boosted by Basilisk [ECHO.] [Owndaworld] - - Pithum A-Type Medium Remote Shield Booster,302,20260115_225541_1797692549.txt
2026.01.15 23:40:50,679,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Owndaworld,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Large Remote Shield Booster II,,,,,[ 2026.01.15 23:40:50 ] (combat) 679 remote shield boosted by Basilisk [ECHO.] [Owndaworld] - - Large Remote Shield Booster II,303,20260115_225541_1797692549.txt
2026.01.15 23:40:50,507,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Owndaworld,Basilisk,Logistics,T2,Tech II,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Pithum A-Type Medium Remote Shield Booster,,,,,[ 2026.01.15 23:40:50 ] (combat) 507 remote shield boosted by Basilisk [ECHO.] [Owndaworld] - - Pithum A-Type Medium Remote Shield Booster,305,20260115_225541_1797692549.txt
2026.01.15 23:40:55,477,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Pithum A-Type Medium Remote Shield Booster,,,,,[ 2026.01.15 23:40:55 ] (combat) 477 remote shield boosted by Loki [ECHO.] [Outalized] - - Pithum A-Type Medium Remote Shield Booster,328,20260115_225541_1797692549.txt
2026.01.15 23:40:55,477,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Outalized,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,- Pithum A-Type Medium Remote Shield Booster,,,,,[ 2026.01.15 23:40:55 ] (combat) 477 remote shield boosted by Loki [ECHO.] [Outalized] - - Pithum A-Type Medium Remote Shield Booster,329,20260115_225541_1797692549.txt
