timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:47:41,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Andre Skywalker,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Cryo Cattington,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3560;653;1455;5796;1169;847,[ 2026.01.15 23:47:41 ] (combat) Warp scramble attempt from Loki [ECHO.] [INOU] [Andre Skywalker] - to Sacrilege [NV] [NVACA] [Cryo Cattington] -
2026.01.15 23:40:06,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Andre Skywalker,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,2979;176;208;5128;169;58,[ 2026.01.15 23:40:06 ] (combat) Warp scramble attempt from Loki [ECHO.] [INOU] [Andre Skywalker] - to Scorpion [NV] [NVACA] [Kariya Uta] -
2026.01.15 23:43:04,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Andre Skywalker,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Kariya Uta,Scorpion,Battleship,T1,Tech I,NV,NVACA,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3228;354;850;5379;736;290,[ 2026.01.15 23:43:04 ] (combat) Warp scramble attempt from Loki [ECHO.] [INOU] [Andre Skywalker] - to Scorpion [NV] [NVACA] [Kariya Uta] -
2026.01.15 23:43:35,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Ampika Zarelli,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3277;396;866;5420;762;326,[ 2026.01.15 23:43:35 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Loki [ECHO.] [INOU] [Ampika Zarelli] -
2026.01.15 23:48:08,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Andre Skywalker,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3592;677;1549;5885;1218;922,[ 2026.01.15 23:48:08 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Loki [ECHO.] [INOU] [Andre Skywalker] -
2026.01.15 23:51:46,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Elya Aylet,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3822;966;2239;6150;1525,[ 2026.01.15 23:51:46 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Sleipnir [ECHO.] [INOU] [Elya Aylet] -
2026.01.15 23:49:43,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,ImmortalisMyst,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3684;789;2058;6035;1420,[ 2026.01.15 23:49:43 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Loki [ECHO.] [INOU] [ImmortalisMyst] -
2026.01.15 23:48:50,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3645;725;1757;5990;1301;1034,[ 2026.01.15 23:48:50 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Bifrost [ECHO.] [INOU] [JiJ Hinken] -
2026.01.15 23:45:48,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3445;565;968;5575;898;470,[ 2026.01.15 23:45:48 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:51:04,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3771;889;2228;6127;1484,[ 2026.01.15 23:51:04 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:53:14,Zula Rage,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Turix,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225541_1797692549.txt,1610,[ 2026.01.15 23:53:14 ] (combat) Warp scramble attempt from Sacrilege [NV] [Berserk Horse] - to Sleipnir [ECHO.] [Turix] -
2026.01.15 23:41:28,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Compelled Discovery,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,ImmortalisMyst,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3094;258;527;5248;538;121,[ 2026.01.15 23:41:28 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Compelled Discovery] - to Loki [ECHO.] [INOU] [ImmortalisMyst] -
2026.01.15 23:39:38,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Compelled Discovery,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,2952;139;118;5083;106;32,[ 2026.01.15 23:39:38 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Compelled Discovery] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
