pilot,alliance,corp,ship_types,ship_types_seen,ship_types_seen_count,fighter_types,ship_classes,ship_tech_levels,hull_rarities,damage_done_count,damage_done_total,damage_done_avg,damage_received_count,damage_received_total,damage_received_avg,repairs_done_count,repairs_done_total,repairs_done_avg,repairs_received_count,repairs_received_total,repairs_received_avg,ewar_effects_done_count,ewar_effects_done_total,ewar_effects_done_avg,ewar_effects_received_count,ewar_effects_received_total,ewar_effects_received_avg,cap_warfare_done_count,cap_warfare_done_total,cap_warfare_done_avg,cap_warfare_received_count,cap_warfare_received_total,cap_warfare_received_avg,capacitor_done_count,capacitor_done_total,capacitor_done_avg,capacitor_received_count,capacitor_received_total,capacitor_received_avg,propulsion_jam_attempts_count,propulsion_jam_attempts_total,propulsion_jam_attempts_avg
000666000,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,1373,139422,101.54552075746541,723,23514,32.522821576763484,0,,,22,8420,382.72727272727275,0,,,4,,,0,,,15,2080,138.66666666666666,0,,,0,,,0,,
0wnda,ECHO.,INOU,Basilisk,Basilisk,1,,Logistics,T2,Tech II,108,1680,15.555555555555555,56,2199,39.267857142857146,249,122676,492.67469879518075,12,1526,127.16666666666667,0,,,10,,,0,,,19,6771,356.36842105263156,386,84520,218.96373056994818,158,36370,230.18987341772151,1,,
5z tdtzud,ECHO.,INOU,Claymore,Claymore,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,
Ampika Zarelli,ECHO.,INOU,Loki,Loki,1,,Strategic Cruiser,T3,Tech III,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,4,,
Andre Skywalker,ECHO.,INOU,Loki,Loki,1,,Strategic Cruiser,T3,Tech III,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,5,,
Berserk Horse,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,
Bree Azul,NV,NVACA,Scorpion,Scorpion,1,,Battleship,T1,Tech I,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Chad Cartier,NV,NVACA,Guardian,Guardian,1,,Logistics,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Compelled Discovery,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,
Crafty Beaver,NV,NVACA,Damnation,Damnation,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Cryo Cattington,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,
Cryo Jolton,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,
Deringston Xa'thon,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,
Drakyrass,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
DreamScythe,NV,NVACA,Guardian,Guardian,1,,Logistics,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Duchess Tolmeightes,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Elya Aylet,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,5,,
