pilot,alliance,corp,ship_type,ship_class,ship_tech,hull_rarity,first_seen,last_seen,duration_s,seen_events_count
000666000,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:12,15-01-2026 23:51:33,741,2245
0wnda,ECHO.,INOU,Basilisk,Logistics,T2,Tech II,15-01-2026 23:38:47,15-01-2026 23:52:41,834,1550
5z tdtzud,ECHO.,INOU,Claymore,Command Ship,T2,Tech II,15-01-2026 23:40:32,15-01-2026 23:52:51,739,78
Ampika Zarelli,ECHO.,INOU,Loki,Strategic Cruiser,T3,Tech III,15-01-2026 23:39:49,15-01-2026 23:43:59,250,90
Andre Skywalker,ECHO.,INOU,Loki,Strategic Cruiser,T3,Tech III,15-01-2026 23:39:14,15-01-2026 23:49:35,621,470
Berserk Horse,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:38:53,15-01-2026 23:53:14,861,49
Bree Azul,NV,NVACA,Scorpion,Battleship,T1,Tech I,15-01-2026 23:45:01,15-01-2026 23:54:05,544,79
Chad Cartier,NV,NVACA,Guardian,Logistics,T2,Tech II,15-01-2026 23:48:21,15-01-2026 23:56:01,460,2
Compelled Discovery,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:39:38,15-01-2026 23:53:38,840,42
Crafty Beaver,NV,NVACA,Damnation,Command Ship,T2,Tech II,15-01-2026 23:42:46,15-01-2026 23:50:13,447,30
Cryo Cattington,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:39:03,15-01-2026 23:56:03,1020,62
Cryo Jolton,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:39:11,15-01-2026 23:56:02,1011,42
Deringston Xa'thon,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:38:52,15-01-2026 23:56:02,1030,236
Drakyrass,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:17,15-01-2026 23:50:15,658,183
DreamScythe,NV,NVACA,Guardian,Logistics,T2,Tech II,15-01-2026 23:40:29,15-01-2026 23:49:13,524,17
Duchess Tolmeightes,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:17,15-01-2026 23:50:13,656,203
Elya Aylet,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:15,15-01-2026 23:51:57,762,213
Francis the Mute,NV,NVACA,Heretic,Interdictor,T2,Tech II,15-01-2026 23:46:46,15-01-2026 23:55:59,553,106
ImmortalisMyst,ECHO.,INOU,Loki,Strategic Cruiser,T3,Tech III,15-01-2026 23:39:14,15-01-2026 23:50:59,705,304
International Shoe,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:40:22,15-01-2026 23:53:38,796,42
JiJ Hinken,ECHO.,INOU,Rook,Combat Recon Ship,T2,Tech II,15-01-2026 23:39:14,15-01-2026 23:45:26,372,409
JiJ Hinken,ECHO.,INOU,Bifrost,Command Destroyer,T2,Tech II,15-01-2026 23:48:48,15-01-2026 23:53:12,264,9
Justice Luft,NV,NVACA,Eos,Command Ship,T2,Tech II,15-01-2026 23:41:08,15-01-2026 23:50:13,545,60
Jyfaala Tragu,NV,NVACA,Eos,Command Ship,T2,Tech II,15-01-2026 23:40:29,15-01-2026 23:50:13,584,86
Kariya Uta,NV,NVACA,Scorpion,Battleship,T1,Tech I,15-01-2026 23:40:01,15-01-2026 23:53:18,797,95
Khan Zung,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:17,15-01-2026 23:51:28,731,220
Lt Myst,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:17,15-01-2026 23:50:13,656,186
Maverick Parmala,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:17,15-01-2026 23:50:05,648,232
Mick Fightmaster,NV,NVACA,Armageddon,Battleship,T1,Tech I,15-01-2026 23:38:58,15-01-2026 23:55:54,1016,150
minrat1,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:41:31,15-01-2026 23:51:02,571,28
MissileFart,NV,NVACA,Devoter,Heavy Interdiction Cruiser,T2,Tech II,15-01-2026 23:51:08,15-01-2026 23:55:34,266,7
Mr Jesterman,NV,NVACA,Guardian,Logistics,T2,Tech II,15-01-2026 23:40:29,15-01-2026 23:56:01,932,14
muteassassin,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:15,15-01-2026 23:51:37,742,220
Nate Titain,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:38:47,15-01-2026 23:51:42,775,41
Norgs,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:41:12,15-01-2026 23:56:02,890,42
Outalized,ECHO.,INOU,Loki,Strategic Cruiser,T3,Tech III,15-01-2026 23:39:26,15-01-2026 23:49:23,597,902
Ownda,ECHO.,INOU,Basilisk,Logistics,T2,Tech II,15-01-2026 23:38:48,15-01-2026 23:52:04,796,1727
Owndaworld,ECHO.,INOU,Basilisk,Logistics,T2,Tech II,15-01-2026 23:38:48,15-01-2026 23:52:51,843,1750
Roman Furrer,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:38:51,15-01-2026 23:56:02,1031,275
sexy'beast,NV,NVACA,Kitsune,Electronic Attack Ship,T2,Tech II,15-01-2026 23:45:18,15-01-2026 23:52:27,429,59
social Dee,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:41:28,15-01-2026 23:50:13,525,35
Tan mie,ECHO.,INOU,Cenotaph,Combat Battlecruiser,T1,Faction,15-01-2026 23:39:12,15-01-2026 23:51:27,735,616
TheRandomDan,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:14,15-01-2026 23:51:33,739,236
Tinker Blightsteel,NV,NVACA,Sacrilege,Heavy Assault Cruiser,T2,Tech II,15-01-2026 23:38:47,15-01-2026 23:51:45,778,53
Turix,ECHO.,INOU,Sleipnir,Command Ship,T2,Tech II,15-01-2026 23:39:14,15-01-2026 23:53:52,878,244
Xafen Katapi,NV,NVACA,Guardian,Logistics,T2,Tech II,15-01-2026 23:39:07,15-01-2026 23:49:18,611,6
Zula Rage,ECHO.,INOU,Loki,Strategic Cruiser,T3,Tech III,15-01-2026 23:38:58,15-01-2026 23:56:03,1025,1686
